field_1,field_2,field_3,gx,gy,gz
32323423.000000000000000,5723369.000000000000000,43.630000000000003,"32323423","5723369",99.000000000000000
32323423.000000000000000,5723370.000000000000000,43.820000000000000,"32323423","5723370",98.000000000000000
32323423.000000000000000,5723377.000000000000000,44.630000000000003,"32323423","5723377",93.000000000000000
32323424.000000000000000,5723379.000000000000000,44.729999999999997,"32323424","5723379",93.000000000000000
32323425.000000000000000,5723124.000000000000000,34.030000000000001,"32323425","5723124",78.000000000000000
32323425.000000000000000,5723360.000000000000000,42.759999999999998,"32323425","5723360",69.000000000000000
32323426.000000000000000,5723230.000000000000000,32.979999999999997,"32323426","5723230",86.000000000000000
32323426.000000000000000,5723381.000000000000000,44.700000000000003,"32323426","5723381",92.000000000000000
32323427.000000000000000,5723125.000000000000000,34.359999999999999,"32323427","5723125",75.000000000000000
32323428.000000000000000,5723231.000000000000000,33.030000000000001,"32323428","5723231",85.000000000000000
32323428.000000000000000,5723356.000000000000000,42.560000000000002,"32323428","5723356",74.000000000000000
32323428.000000000000000,5723382.000000000000000,44.729999999999997,"32323428","5723382",93.000000000000000
32323430.000000000000000,5723125.000000000000000,34.700000000000003,"32323430","5723125",74.000000000000000
32323430.000000000000000,5723232.000000000000000,33.119999999999997,"32323430","5723232",84.000000000000000
32323431.000000000000000,5723352.000000000000000,42.299999999999997,"32323431","5723352",79.000000000000000
32323431.000000000000000,5723385.000000000000000,44.619999999999997,"32323431","5723385",93.000000000000000
32323433.000000000000000,5723234.000000000000000,33.299999999999997,"32323433","5723234",84.000000000000000
32323433.000000000000000,5723349.000000000000000,41.729999999999997,"32323433","5723349",81.000000000000000
32323434.000000000000000,5723384.000000000000000,44.710000000000001,"32323434","5723384",92.000000000000000
32323435.000000000000000,5723122.000000000000000,34.670000000000002,"32323435","5723122",75.000000000000000
32323435.000000000000000,5723345.000000000000000,41.189999999999998,"32323435","5723345",78.000000000000000
32323436.000000000000000,5723238.000000000000000,33.619999999999997,"32323436","5723238",83.000000000000000
32323436.000000000000000,5723388.000000000000000,44.640000000000001,"32323436","5723388",91.000000000000000
32323437.000000000000000,5723240.000000000000000,33.789999999999999,"32323437","5723240",86.000000000000000
32323437.000000000000000,5723343.000000000000000,40.880000000000003,"32323437","5723343",77.000000000000000
32323438.000000000000000,5723243.000000000000000,34.090000000000003,"32323438","5723243",88.000000000000000
32323438.000000000000000,5723244.000000000000000,34.100000000000001,"32323438","5723244",86.000000000000000
32323439.000000000000000,5723245.000000000000000,34.219999999999999,"32323439","5723245",90.000000000000000
32323440.000000000000000,5723119.000000000000000,34.570000000000000,"32323440","5723119",78.000000000000000
32323440.000000000000000,5723249.000000000000000,34.409999999999997,"32323440","5723249",89.000000000000000
32323440.000000000000000,5723390.000000000000000,44.680000000000000,"32323440","5723390",91.000000000000000
32323441.000000000000000,5723251.000000000000000,34.600000000000001,"32323441","5723251",88.000000000000000
32323441.000000000000000,5723342.000000000000000,40.969999999999999,"32323441","5723342",76.000000000000000
32323443.000000000000000,5723117.000000000000000,34.350000000000001,"32323443","5723117",78.000000000000000
32323443.000000000000000,5723394.000000000000000,44.680000000000000,"32323443","5723394",91.000000000000000
32323444.000000000000000,5723254.000000000000000,34.969999999999999,"32323444","5723254",87.000000000000000
32323444.000000000000000,5723339.000000000000000,40.719999999999999,"32323444","5723339",73.000000000000000
32323445.000000000000000,5723256.000000000000000,35.189999999999998,"32323445","5723256",85.000000000000000
32323445.000000000000000,5723259.000000000000000,35.350000000000001,"32323445","5723259",83.000000000000000
32323445.000000000000000,5723336.000000000000000,40.420000000000002,"32323445","5723336",74.000000000000000
32323445.000000000000000,5723394.000000000000000,44.640000000000001,"32323445","5723394",93.000000000000000
32323446.000000000000000,5723116.000000000000000,34.240000000000002,"32323446","5723116",77.000000000000000
32323447.000000000000000,5723262.000000000000000,35.789999999999999,"32323447","5723262",82.000000000000000
32323447.000000000000000,5723332.000000000000000,40.130000000000003,"32323447","5723332",74.000000000000000
32323447.000000000000000,5723394.000000000000000,44.659999999999997,"32323447","5723394",95.000000000000000
32323448.000000000000000,5723115.000000000000000,34.149999999999999,"32323448","5723115",76.000000000000000
32323449.000000000000000,5723266.000000000000000,36.229999999999997,"32323449","5723266",84.000000000000000
32323449.000000000000000,5723281.000000000000000,36.680000000000000,"32323449","5723281",78.000000000000000
32323449.000000000000000,5723283.000000000000000,36.729999999999997,"32323449","5723283",79.000000000000000
32323449.000000000000000,5723284.000000000000000,36.780000000000001,"32323449","5723284",79.000000000000000
32323449.000000000000000,5723285.000000000000000,36.799999999999997,"32323449","5723285",79.000000000000000
32323449.000000000000000,5723286.000000000000000,36.710000000000001,"32323449","5723286",84.000000000000000
32323449.000000000000000,5723327.000000000000000,39.649999999999999,"32323449","5723327",77.000000000000000
32323450.000000000000000,5723269.000000000000000,36.450000000000003,"32323450","5723269",84.000000000000000
32323450.000000000000000,5723279.000000000000000,36.700000000000003,"32323450","5723279",76.000000000000000
32323450.000000000000000,5723288.000000000000000,36.759999999999998,"32323450","5723288",82.000000000000000
32323451.000000000000000,5723237.000000000000000,35.649999999999999,"32323451","5723237",91.000000000000000
32323451.000000000000000,5723240.000000000000000,35.719999999999999,"32323451","5723240",91.000000000000000
32323451.000000000000000,5723242.000000000000000,35.719999999999999,"32323451","5723242",90.000000000000000
32323451.000000000000000,5723244.000000000000000,35.780000000000001,"32323451","5723244",92.000000000000000
32323451.000000000000000,5723275.000000000000000,36.710000000000001,"32323451","5723275",75.000000000000000
32323451.000000000000000,5723324.000000000000000,39.380000000000003,"32323451","5723324",80.000000000000000
32323451.000000000000000,5723396.000000000000000,44.649999999999999,"32323451","5723396",99.000000000000000
32323452.000000000000000,5723228.000000000000000,35.560000000000002,"32323452","5723228",87.000000000000000
32323452.000000000000000,5723230.000000000000000,35.710000000000001,"32323452","5723230",87.000000000000000
32323452.000000000000000,5723232.000000000000000,35.770000000000003,"32323452","5723232",88.000000000000000
32323452.000000000000000,5723243.000000000000000,35.899999999999999,"32323452","5723243",91.000000000000000
32323452.000000000000000,5723246.000000000000000,35.960000000000001,"32323452","5723246",87.000000000000000
32323452.000000000000000,5723270.000000000000000,36.700000000000003,"32323452","5723270",89.000000000000000
32323452.000000000000000,5723290.000000000000000,36.939999999999998,"32323452","5723290",83.000000000000000
32323452.000000000000000,5723291.000000000000000,36.969999999999999,"32323452","5723291",85.000000000000000
32323453.000000000000000,5723113.000000000000000,33.750000000000000,"32323453","5723113",77.000000000000000
32323453.000000000000000,5723249.000000000000000,36.109999999999999,"32323453","5723249",90.000000000000000
32323453.000000000000000,5723269.000000000000000,36.770000000000003,"32323453","5723269",77.000000000000000
32323454.000000000000000,5723192.000000000000000,38.600000000000001,"32323454","5723192",84.000000000000000
32323454.000000000000000,5723225.000000000000000,35.850000000000001,"32323454","5723225",86.000000000000000
32323454.000000000000000,5723250.000000000000000,36.380000000000003,"32323454","5723250",88.000000000000000
32323454.000000000000000,5723258.000000000000000,36.770000000000003,"32323454","5723258",82.000000000000000
32323454.000000000000000,5723260.000000000000000,36.710000000000001,"32323454","5723260",84.000000000000000
32323454.000000000000000,5723261.000000000000000,36.680000000000000,"32323454","5723261",82.000000000000000
32323454.000000000000000,5723265.000000000000000,36.890000000000001,"32323454","5723265",79.000000000000000
32323454.000000000000000,5723273.000000000000000,37.090000000000003,"32323454","5723273",93.000000000000000
32323454.000000000000000,5723298.000000000000000,37.189999999999998,"32323454","5723298",79.000000000000000
32323455.000000000000000,5723110.000000000000000,33.409999999999997,"32323455","5723110",77.000000000000000
32323455.000000000000000,5723187.000000000000000,39.000000000000000,"32323455","5723187",82.000000000000000
32323455.000000000000000,5723189.000000000000000,38.740000000000002,"32323455","5723189",81.000000000000000
32323455.000000000000000,5723194.000000000000000,38.310000000000002,"32323455","5723194",86.000000000000000
32323455.000000000000000,5723222.000000000000000,35.939999999999998,"32323455","5723222",85.000000000000000
32323455.000000000000000,5723254.000000000000000,36.729999999999997,"32323455","5723254",83.000000000000000
32323455.000000000000000,5723277.000000000000000,37.149999999999999,"32323455","5723277",94.000000000000000
32323455.000000000000000,5723280.000000000000000,37.109999999999999,"32323455","5723280",98.000000000000000
32323455.000000000000000,5723319.000000000000000,38.670000000000002,"32323455","5723319",81.000000000000000
32323456.000000000000000,5723186.000000000000000,39.090000000000003,"32323456","5723186",85.000000000000000
32323456.000000000000000,5723198.000000000000000,37.890000000000001,"32323456","5723198",84.000000000000000
32323456.000000000000000,5723282.000000000000000,37.109999999999999,"32323456","5723282",97.000000000000000
32323456.000000000000000,5723300.000000000000000,37.270000000000003,"32323456","5723300",78.000000000000000
32323456.000000000000000,5723397.000000000000000,44.719999999999999,"32323456","5723397",102.000000000000000
32323457.000000000000000,5723181.000000000000000,39.380000000000003,"32323457","5723181",83.000000000000000
32323457.000000000000000,5723202.000000000000000,37.560000000000002,"32323457","5723202",83.000000000000000
32323457.000000000000000,5723216.000000000000000,36.509999999999998,"32323457","5723216",85.000000000000000
32323457.000000000000000,5723315.000000000000000,38.409999999999997,"32323457","5723315",82.000000000000000
32323458.000000000000000,5723108.000000000000000,33.359999999999999,"32323458","5723108",75.000000000000000
32323458.000000000000000,5723206.000000000000000,37.329999999999998,"32323458","5723206",84.000000000000000
32323458.000000000000000,5723210.000000000000000,37.109999999999999,"32323458","5723210",85.000000000000000
32323458.000000000000000,5723217.000000000000000,36.590000000000003,"32323458","5723217",83.000000000000000
32323458.000000000000000,5723218.000000000000000,36.530000000000001,"32323458","5723218",87.000000000000000
32323458.000000000000000,5723219.000000000000000,36.469999999999999,"32323458","5723219",90.000000000000000
32323458.000000000000000,5723222.000000000000000,36.409999999999997,"32323458","5723222",89.000000000000000
32323459.000000000000000,5723176.000000000000000,39.799999999999997,"32323459","5723176",81.000000000000000
32323459.000000000000000,5723220.000000000000000,36.460000000000001,"32323459","5723220",91.000000000000000
32323459.000000000000000,5723221.000000000000000,36.420000000000002,"32323459","5723221",91.000000000000000
32323459.000000000000000,5723222.000000000000000,36.399999999999999,"32323459","5723222",91.000000000000000
32323459.000000000000000,5723222.000000000000000,36.399999999999999,"32323459","5723222",91.000000000000000
32323459.000000000000000,5723222.000000000000000,36.399999999999999,"32323459","5723222",91.000000000000000
32323459.000000000000000,5723222.000000000000000,36.399999999999999,"32323459","5723222",91.000000000000000
32323459.000000000000000,5723284.000000000000000,37.509999999999998,"32323459","5723284",98.000000000000000
32323460.000000000000000,5723302.000000000000000,37.640000000000001,"32323460","5723302",78.000000000000000
32323460.000000000000000,5723311.000000000000000,38.180000000000000,"32323460","5723311",83.000000000000000
32323460.000000000000000,5723400.000000000000000,44.729999999999997,"32323460","5723400",102.000000000000000
32323461.000000000000000,5723285.000000000000000,37.520000000000003,"32323461","5723285",98.000000000000000
32323462.000000000000000,5723105.000000000000000,33.479999999999997,"32323462","5723105",75.000000000000000
32323462.000000000000000,5723171.000000000000000,40.070000000000000,"32323462","5723171",76.000000000000000
32323462.000000000000000,5723288.000000000000000,37.579999999999998,"32323462","5723288",96.000000000000000
32323462.000000000000000,5723308.000000000000000,37.950000000000003,"32323462","5723308",82.000000000000000
32323462.000000000000000,5723308.000000000000000,37.950000000000003,"32323462","5723308",78.000000000000000
32323462.000000000000000,5723309.000000000000000,38.020000000000003,"32323462","5723309",78.000000000000000
32323463.000000000000000,5723291.000000000000000,37.630000000000003,"32323463","5723291",92.000000000000000
32323463.000000000000000,5723309.000000000000000,38.000000000000000,"32323463","5723309",79.000000000000000
32323463.000000000000000,5723317.000000000000000,38.570000000000000,"32323463","5723317",83.000000000000000
32323464.000000000000000,5723294.000000000000000,37.820000000000000,"32323464","5723294",90.000000000000000
32323464.000000000000000,5723305.000000000000000,37.950000000000003,"32323464","5723305",83.000000000000000
32323464.000000000000000,5723312.000000000000000,38.130000000000003,"32323464","5723312",78.000000000000000
32323464.000000000000000,5723405.000000000000000,44.659999999999997,"32323464","5723405",101.000000000000000
32323465.000000000000000,5723162.000000000000000,40.320000000000000,"32323465","5723162",72.000000000000000
32323465.000000000000000,5723166.000000000000000,40.329999999999998,"32323465","5723166",72.000000000000000
32323465.000000000000000,5723295.000000000000000,37.990000000000002,"32323465","5723295",89.000000000000000
32323465.000000000000000,5723319.000000000000000,38.659999999999997,"32323465","5723319",85.000000000000000
32323466.000000000000000,5723101.000000000000000,33.609999999999999,"32323466","5723101",75.000000000000000
32323466.000000000000000,5723159.000000000000000,40.079999999999998,"32323466","5723159",72.000000000000000
32323466.000000000000000,5723297.000000000000000,38.090000000000003,"32323466","5723297",87.000000000000000
32323466.000000000000000,5723301.000000000000000,38.100000000000001,"32323466","5723301",86.000000000000000
32323468.000000000000000,5723156.000000000000000,39.570000000000000,"32323468","5723156",72.000000000000000
32323468.000000000000000,5723156.000000000000000,39.570000000000000,"32323468","5723156",71.000000000000000
32323468.000000000000000,5723319.000000000000000,38.460000000000001,"32323468","5723319",84.000000000000000
32323468.000000000000000,5723410.000000000000000,44.670000000000002,"32323468","5723410",97.000000000000000
32323469.000000000000000,5723099.000000000000000,33.689999999999998,"32323469","5723099",73.000000000000000
32323471.000000000000000,5723098.000000000000000,33.859999999999999,"32323471","5723098",71.000000000000000
32323471.000000000000000,5723153.000000000000000,39.219999999999999,"32323471","5723153",72.000000000000000
32323471.000000000000000,5723322.000000000000000,38.600000000000001,"32323471","5723322",85.000000000000000
32323473.000000000000000,5723148.000000000000000,38.649999999999999,"32323473","5723148",73.000000000000000
32323474.000000000000000,5723144.000000000000000,38.509999999999998,"32323474","5723144",73.000000000000000
32323474.000000000000000,5723324.000000000000000,38.829999999999998,"32323474","5723324",84.000000000000000
32323474.000000000000000,5723411.000000000000000,44.689999999999998,"32323474","5723411",94.000000000000000
32323476.000000000000000,5723093.000000000000000,34.159999999999997,"32323476","5723093",75.000000000000000
32323476.000000000000000,5723140.000000000000000,37.979999999999997,"32323476","5723140",76.000000000000000
32323477.000000000000000,5723090.000000000000000,33.500000000000000,"32323477","5723090",76.000000000000000
32323477.000000000000000,5723331.000000000000000,39.119999999999997,"32323477","5723331",84.000000000000000
32323478.000000000000000,5723088.000000000000000,33.320000000000000,"32323478","5723088",77.000000000000000
32323478.000000000000000,5723138.000000000000000,38.180000000000000,"32323478","5723138",77.000000000000000
32323479.000000000000000,5723136.000000000000000,38.240000000000002,"32323479","5723136",78.000000000000000
32323479.000000000000000,5723412.000000000000000,44.799999999999997,"32323479","5723412",94.000000000000000
32323480.000000000000000,5723088.000000000000000,33.789999999999999,"32323480","5723088",75.000000000000000
32323480.000000000000000,5723134.000000000000000,38.229999999999997,"32323480","5723134",78.000000000000000
32323481.000000000000000,5723333.000000000000000,39.549999999999997,"32323481","5723333",86.000000000000000
32323482.000000000000000,5723335.000000000000000,39.609999999999999,"32323482","5723335",89.000000000000000
32323483.000000000000000,5723084.000000000000000,33.149999999999999,"32323483","5723084",75.000000000000000
32323483.000000000000000,5723131.000000000000000,38.130000000000003,"32323483","5723131",77.000000000000000
32323483.000000000000000,5723413.000000000000000,44.850000000000001,"32323483","5723413",93.000000000000000
32323484.000000000000000,5723337.000000000000000,39.799999999999997,"32323484","5723337",89.000000000000000
32323485.000000000000000,5723082.000000000000000,33.030000000000001,"32323485","5723082",74.000000000000000
32323485.000000000000000,5723127.000000000000000,38.070000000000000,"32323485","5723127",78.000000000000000
32323486.000000000000000,5723415.000000000000000,44.979999999999997,"32323486","5723415",92.000000000000000
32323487.000000000000000,5723340.000000000000000,39.939999999999998,"32323487","5723340",88.000000000000000
32323487.000000000000000,5723343.000000000000000,40.000000000000000,"32323487","5723343",90.000000000000000
32323488.000000000000000,5723079.000000000000000,32.869999999999997,"32323488","5723079",72.000000000000000
32323488.000000000000000,5723124.000000000000000,37.780000000000001,"32323488","5723124",77.000000000000000
32323488.000000000000000,5723414.000000000000000,45.090000000000003,"32323488","5723414",96.000000000000000
32323489.000000000000000,5723346.000000000000000,40.070000000000000,"32323489","5723346",87.000000000000000
32323489.000000000000000,5723415.000000000000000,45.210000000000001,"32323489","5723415",95.000000000000000
32323490.000000000000000,5723415.000000000000000,45.180000000000000,"32323490","5723415",95.000000000000000
32323491.000000000000000,5723078.000000000000000,32.899999999999999,"32323491","5723078",72.000000000000000
32323491.000000000000000,5723122.000000000000000,37.289999999999999,"32323491","5723122",75.000000000000000
32323492.000000000000000,5723350.000000000000000,40.520000000000003,"32323492","5723350",86.000000000000000
32323493.000000000000000,5723077.000000000000000,32.909999999999997,"32323493","5723077",72.000000000000000
32323494.000000000000000,5723121.000000000000000,37.109999999999999,"32323494","5723121",68.000000000000000
32323494.000000000000000,5723353.000000000000000,40.649999999999999,"32323494","5723353",88.000000000000000
32323494.000000000000000,5723354.000000000000000,40.680000000000000,"32323494","5723354",88.000000000000000
32323494.000000000000000,5723416.000000000000000,45.210000000000001,"32323494","5723416",95.000000000000000
32323495.000000000000000,5723077.000000000000000,33.090000000000003,"32323495","5723077",71.000000000000000
32323495.000000000000000,5723356.000000000000000,40.890000000000001,"32323495","5723356",90.000000000000000
32323496.000000000000000,5723120.000000000000000,37.149999999999999,"32323496","5723120",69.000000000000000
32323496.000000000000000,5723357.000000000000000,40.920000000000002,"32323496","5723357",90.000000000000000
32323496.000000000000000,5723358.000000000000000,40.909999999999997,"32323496","5723358",89.000000000000000
32323496.000000000000000,5723358.000000000000000,40.909999999999997,"32323496","5723358",89.000000000000000
32323496.000000000000000,5723358.000000000000000,40.909999999999997,"32323496","5723358",90.000000000000000
32323496.000000000000000,5723359.000000000000000,40.939999999999998,"32323496","5723359",97.000000000000000
32323496.000000000000000,5723359.000000000000000,40.939999999999998,"32323496","5723359",97.000000000000000
32323496.000000000000000,5723359.000000000000000,40.939999999999998,"32323496","5723359",97.000000000000000
32323496.000000000000000,5723360.000000000000000,40.960000000000001,"32323496","5723360",97.000000000000000
32323497.000000000000000,5723359.000000000000000,41.039999999999999,"32323497","5723359",93.000000000000000
32323497.000000000000000,5723359.000000000000000,41.039999999999999,"32323497","5723359",97.000000000000000
32323497.000000000000000,5723361.000000000000000,41.039999999999999,"32323497","5723361",98.000000000000000
32323497.000000000000000,5723366.000000000000000,41.090000000000003,"32323497","5723366",96.000000000000000
