,gx,gy,gz
227,32323469,5724976,68.0
228,32323473,5724970,68.0
229,32323475,5724965,68.0
230,32323478,5724958,70.0
231,32323479,5724952,72.0
232,32323482,5724945,74.0
233,32323483,5724940,74.0
234,32323485,5724936,72.0
235,32323486,5724930,71.0
236,32323487,5724925,72.0
237,32323485,5724918,72.0
238,32323482,5724913,72.0
239,32323479,5724907,72.0
240,32323477,5724903,74.0
241,32323475,5724897,73.0
242,32323473,5724892,75.0
243,32323470,5724887,75.0
244,32323466,5724882,77.0
245,32323464,5724877,78.0
246,32323464,5724871,75.0
247,32323463,5724867,76.0
248,32323460,5724863,76.0
249,32323459,5724862,77.0
250,32323459,5724862,77.0
251,32323458,5724859,78.0
252,32323456,5724854,77.0
253,32323454,5724848,77.0
254,32323451,5724844,76.0
255,32323449,5724841,76.0
256,32323445,5724836,78.0
257,32323442,5724831,77.0
258,32323440,5724825,75.0
259,32323438,5724819,77.0
260,32323436,5724813,80.0
261,32323434,5724808,78.0
262,32323434,5724808,77.0
263,32323434,5724807,78.0
264,32323434,5724810,77.0
265,32323434,5724812,78.0
266,32323434,5724812,78.0
267,32323434,5724812,77.0
268,32323433,5724812,78.0
269,32323434,5724812,78.0
270,32323434,5724812,78.0
271,32323433,5724811,76.0
272,32323433,5724809,76.0
273,32323434,5724806,76.0
274,32323433,5724805,76.0
275,32323432,5724805,76.0
276,32323431,5724804,76.0
277,32323431,5724803,77.0
278,32323430,5724801,77.0
279,32323429,5724798,77.0
280,32323429,5724794,77.0
281,32323428,5724789,78.0
282,32323426,5724784,80.0
283,32323425,5724780,78.0
284,32323424,5724778,78.0
285,32323423,5724774,78.0
286,32323422,5724770,80.0
287,32323421,5724766,78.0
288,32323419,5724763,77.0
289,32323418,5724758,77.0
290,32323418,5724754,78.0
291,32323418,5724750,79.0
292,32323417,5724748,77.0
293,32323417,5724745,75.0
294,32323417,5724744,76.0
295,32323417,5724742,77.0
296,32323417,5724741,78.0
297,32323417,5724741,78.0
298,32323417,5724739,78.0
299,32323416,5724734,80.0
300,32323417,5724730,81.0
301,32323416,5724728,77.0
302,32323416,5724726,77.0
303,32323415,5724722,76.0
304,32323412,5724720,76.0
305,32323409,5724715,79.0
306,32323407,5724710,80.0
307,32323406,5724706,82.0
308,32323403,5724701,82.0
309,32323400,5724697,80.0
310,32323399,5724693,79.0
311,32323396,5724688,79.0
312,32323395,5724684,79.0
313,32323393,5724680,78.0
314,32323392,5724677,78.0
315,32323392,5724674,78.0
316,32323391,5724669,78.0
317,32323391,5724664,79.0
318,32323391,5724660,81.0
319,32323391,5724655,82.0
320,32323391,5724649,82.0
321,32323390,5724644,81.0
322,32323388,5724639,80.0
323,32323387,5724633,82.0
324,32323387,5724628,84.0
325,32323387,5724623,86.0
326,32323386,5724618,87.0
327,32323386,5724614,89.0
328,32323385,5724610,87.0
329,32323385,5724608,89.0
330,32323385,5724604,93.0
331,32323387,5724599,95.0
332,32323389,5724594,96.0
333,32323390,5724592,96.0
334,32323390,5724591,97.0
335,32323390,5724591,100.0
336,32323390,5724590,101.0
337,32323390,5724590,102.0
338,32323391,5724590,102.0
339,32323391,5724590,102.0
340,32323391,5724590,102.0
341,32323391,5724590,102.0
342,32323391,5724590,102.0
343,32323391,5724590,102.0
344,32323391,5724590,101.0
345,32323391,5724591,100.0
346,32323390,5724592,97.0
347,32323388,5724592,96.0
348,32323387,5724593,94.0
349,32323385,5724592,91.0
350,32323384,5724590,91.0
351,32323382,5724587,91.0
352,32323379,5724585,90.0
353,32323377,5724581,88.0
354,32323374,5724578,83.0
355,32323371,5724575,81.0
356,32323367,5724570,81.0
357,32323364,5724567,84.0
358,32323362,5724562,84.0
359,32323360,5724557,86.0
360,32323356,5724552,84.0
361,32323356,5724549,82.0
362,32323354,5724546,80.0
363,32323351,5724543,79.0
364,32323349,5724538,81.0
365,32323347,5724534,81.0
366,32323342,5724529,81.0
367,32323339,5724525,85.0
368,32323338,5724521,84.0
369,32323339,5724514,85.0
370,32323341,5724507,86.0
371,32323343,5724499,88.0
372,32323345,5724492,90.0
373,32323347,5724482,94.0
374,32323348,5724475,96.0
375,32323349,5724467,100.0
376,32323349,5724462,101.0
377,32323348,5724454,102.0
378,32323347,5724446,102.0
379,32323345,5724439,103.0
380,32323343,5724432,108.0
381,32323341,5724425,106.0
382,32323339,5724421,106.0
383,32323336,5724414,104.0
384,32323331,5724408,101.0
385,32323328,5724402,97.0
386,32323325,5724396,95.0
387,32323321,5724388,94.0
388,32323316,5724379,95.0
389,32323314,5724376,95.0
390,32323312,5724372,97.0
391,32323311,5724369,97.0
392,32323307,5724365,96.0
393,32323301,5724362,91.0
394,32323293,5724359,91.0
395,32323283,5724354,92.0
396,32323275,5724347,92.0
397,32323269,5724344,93.0
398,32323264,5724346,92.0
399,32323258,5724344,80.0
400,32323250,5724342,86.0
401,32323240,5724338,89.0
402,32323233,5724335,92.0
403,32323222,5724330,93.0
404,32323213,5724326,93.0
405,32323208,5724322,95.0
406,32323199,5724316,99.0
407,32323194,5724313,100.0
408,32323187,5724309,99.0
409,32323181,5724305,97.0
410,32323177,5724303,98.0
411,32323172,5724298,99.0
412,32323167,5724295,99.0
413,32323163,5724294,100.0
414,32323159,5724292,101.0
415,32323152,5724288,104.0
416,32323147,5724285,105.0
417,32323143,5724282,104.0
418,32323138,5724276,105.0
419,32323134,5724272,107.0
420,32323129,5724269,111.0
421,32323124,5724264,113.0
422,32323118,5724260,112.0
423,32323113,5724256,112.0
424,32323109,5724253,112.0
425,32323107,5724250,112.0
426,32323104,5724246,109.0
427,32323097,5724243,109.0
428,32323090,5724237,107.0
429,32323083,5724232,103.0
430,32323077,5724227,102.0
431,32323069,5724221,102.0
432,32323063,5724215,102.0
433,32323059,5724212,101.0
434,32323052,5724207,102.0
435,32323047,5724205,104.0
436,32323041,5724201,105.0
437,32323037,5724199,104.0
438,32323033,5724195,104.0
439,32323026,5724189,107.0
440,32323020,5724184,103.0
441,32323012,5724178,104.0
442,32323007,5724174,97.0
443,32323003,5724171,97.0
444,32322996,5724166,97.0
445,32322991,5724161,97.0
446,32322988,5724156,100.0
447,32322983,5724152,102.0
448,32322979,5724148,103.0
449,32322974,5724141,103.0
450,32322970,5724136,105.0
451,32322968,5724133,107.0
452,32322964,5724129,107.0
453,32322958,5724123,108.0
454,32322950,5724118,108.0
455,32322943,5724112,108.0
456,32322937,5724106,109.0
457,32322931,5724098,109.0
458,32322923,5724090,109.0
459,32322918,5724083,106.0
460,32322911,5724078,108.0
461,32322907,5724074,108.0
462,32322905,5724073,104.0
463,32322900,5724068,104.0
464,32322896,5724064,105.0
465,32322889,5724057,103.0
466,32322882,5724049,103.0
467,32322878,5724042,103.0
468,32322875,5724038,101.0
469,32322871,5724031,101.0
470,32322868,5724026,101.0
471,32322866,5724021,102.0
472,32322866,5724016,101.0
473,32322866,5724011,102.0
474,32322865,5724003,103.0
475,32322866,5723997,105.0
476,32322866,5723991,106.0
477,32322867,5723988,107.0
478,32322870,5723984,107.0
